"" "" "ptsT"
"1" 335459.966255963 383571.419126216 308
"2" 326943.632696891 379300.869399419 204
"3" 332011.829414415 382269.889430224 218
"4" 327432.422286649 373039.804575493 426
"5" 327291.593625476 377769.403119752 437
"6" 327859.078313366 376803.935856836 514
"7" 331767.187004915 382893.177003364 421
"8" 326510.557654914 382462.520900067 567
"9" 327858.626668023 380193.710943454 616
"10" 328756.727289797 377380.578481756 292
"11" 330135.923887351 376370.826327746 85
"12" 329054.778036936 369765.520941561 613
"13" 336529.867943048 378327.888425599 509
"14" 331234.099795527 384375.712795644 12
"15" 327044.535207995 372914.908218161 55
"16" 329636.259585926 370617.060668058 17
"17" 328750.021750942 382814.284755005 50
"18" 330449.06427203 385823.167384217 176
"19" 333255.455815102 379920.141726511 630
"20" 331410.508592602 380876.354313949 642
"21" 328997.000388704 369416.872320734 699
"22" 331418.43256308 376964.897431225 46
"23" 329103.89858787 375045.063909206 156
"24" 329074.712290634 376635.409775626 604
"25" 333070.305044493 382645.234375558 231
"26" 330936.851976087 372268.110533047 501
"27" 327985.675578409 376980.149363299 180
"28" 331242.27680694 379351.302674572 181
"29" 332718.510218511 377332.606274578 209
"30" 328252.08802171 377179.321319131 222
"31" 331179.833505475 379251.13711328 221
"32" 328886.448553844 373881.325050987 609
"33" 333530.892454603 381285.222825823 576
"34" 328777.175700234 382993.123962556 173
"35" 331898.487655784 381412.6235881 487
"36" 331317.508305924 382637.880967199 418
"37" 330711.523881045 384786.521875999 587
"38" 336276.200334364 378348.772188463 209
"39" 334853.021509714 379429.80553375 455
"40" 330006.543216231 372720.164476587 162
"41" 335713.854065509 380946.019671295 527
"42" 332998.309266717 380594.331040436 339
"43" 328763.17908053 375070.793042098 484
"44" 329925.19250577 384835.002627798 225
"45" 330969.742350607 380677.567693814 646
"46" 333359.232415626 380893.665621354 348
"47" 331339.267915492 375897.666117706 622
"48" 326163.035502879 381990.893090124 208
"49" 327436.705854021 382765.771771976 544
"50" 336498.078028846 377972.745051197 402
"51" 330716.179660836 381154.931822365 240
"52" 330916.232803395 378985.449178221 190
"53" 328231.63862529 377745.469903623 664
"54" 334546.039123088 380158.473450464 247
"55" 328436.157218698 372322.586534812 704
"56" 326088.449966315 378207.1328293 572
"57" 333044.459907572 383042.697966188 145
"58" 334481.004447862 384900.433426407 376
"59" 333005.961516961 377209.560996246 199
"60" 325804.315678367 377108.804113458 47
"61" 333592.841645407 386748.456851258 156
"62" 330665.732954411 383704.205095856 206
"63" 331810.728439293 382815.527596924 18
"64" 336611.007088509 379708.148154625 37
"65" 329803.535194752 370796.207426428 58
"66" 333161.907389233 386646.806847901 5
"67" 326686.923928871 376277.472241463 720
"68" 334801.679080881 383624.038122939 377
"69" 326847.602487698 378005.171026398 409
"70" 334148.750471298 382105.526486887 66
"71" 331876.758485927 376788.401293708 449
"72" 330422.420260145 380523.516996403 110
"73" 332004.780708873 383339.10964566 463
"74" 327709.098379635 378232.781026589 257
"75" 328809.293841761 369584.792555837 575
"76" 335924.743078757 380143.407978643 433
"77" 329950.493535834 380801.222076235 94
"78" 332991.216266687 383521.932037857 130
"79" 333497.881123627 387387.939468517 98
"80" 330701.641222439 377563.334985848 139
"81" 328607.969646626 376441.211332644 165
"82" 328084.972730509 380465.60035561 707
"83" 332958.085737026 380806.103176805 355
"84" 332529.592441031 376475.107305742 454
"85" 333064.687161761 378285.652586188 28
"86" 330614.393350933 385779.285025959 551
"87" 333735.774940764 377305.589358386 282
"88" 331775.553961075 379675.784831893 256
"89" 329645.206892361 374404.217216451 201
"90" 330644.358694651 374196.958350464 26
"91" 333983.624318135 383388.153250718 364
"92" 328176.2419486 369048.896220069 506
"93" 329833.675135865 369243.122894426 236
"94" 336935.179564926 378286.756702429 453
"95" 328497.413011043 381639.801148163 262
"96" 327733.463051145 375821.107786641 27
"97" 335337.274593165 384450.181768112 543
"98" 331720.347674526 377570.476392984 498
"99" 332739.410814882 377237.688683185 522
"100" 336056.632392768 378382.781118344 471
"101" 328850.857691116 379005.078832537 573
