"" "" "ptsT"
"1" 329987.03612147 376246.575247488 425
"2" 330804.650778288 383317.124394392 221
"3" 331434.106474432 385123.408730468 98
"4" 336236.196461543 380257.397166448 526
"5" 332732.992401412 383822.211370984 104
"6" 328421.083492901 374601.731748805 416
"7" 332130.87427541 385705.339869064 639
"8" 330736.770698981 373821.194323175 445
"9" 329221.901154812 378757.682178157 586
"10" 329895.964273607 379571.520760543 606
"11" 329197.53103659 382616.292975216 633
"12" 329698.06692081 376881.138084021 350
"13" 332343.263582551 377285.037315293 360
"14" 333410.578924394 385786.98050455 394
"15" 332207.649560389 382175.681207428 9
"16" 327530.448831565 382212.566600222 616
"17" 329996.174974028 379463.846511627 42
"18" 329218.296145137 371934.408827462 195
"19" 327937.288215494 381537.739879327 184
"20" 328978.811806357 375940.028410616 187
"21" 333692.35458184 383717.342490361 581
"22" 327913.516470657 381493.15414108 556
"23" 335616.56649872 377893.273230635 711
"24" 330877.545171825 375451.915998376 622
"25" 331949.847543336 383832.937487882 178
"26" 335852.199879177 379366.428953118 416
"27" 333082.165230325 381023.034379047 729
"28" 328762.15345981 370863.932867782 621
"29" 326678.364512004 381770.925278843 461
"30" 328692.684939626 374979.351167786 29
"31" 329428.807934447 382255.315153934 59
"32" 328503.678171975 380408.823038716 507
"33" 332162.187935464 385509.628980566 133
"34" 332175.147816625 377696.338855938 592
"35" 327872.143909029 370279.85027676 573
"36" 332388.707949354 375517.179106998 325
"37" 332146.544341424 381818.751734901 541
"38" 328769.09835482 379275.562914833 41
"39" 328953.894419328 380573.148133151 636
"40" 335365.788772201 383471.207260464 217
"41" 331424.984553603 384962.046965058 91
"42" 335401.882388251 377240.666554697 594
"43" 325931.293400697 377543.768475603 334
"44" 328266.948217338 374624.153721609 97
"45" 329421.597207908 369617.400638376 659
"46" 328494.059831922 369300.423866006 670
"47" 328619.544359444 377059.544181077 321
"48" 336195.124053892 380583.70647068 97
"49" 328283.539311553 370196.962544762 560
"50" 327261.583623475 380443.582095487 589
"51" 324174.230216881 382276.154373168 505
"52" 332468.856966124 384393.286515845 465
"53" 336061.94905734 378897.81137552 584
"54" 327501.935556914 368766.709184918 555
"55" 333833.664974473 386725.606353267 515
"56" 328666.684289203 380963.061884583 463
"57" 333388.177697535 377787.888824639 98
"58" 330464.197241875 372780.699851125 623
"59" 335893.51737189 376331.534854921 516
"60" 329883.585579107 378303.380419216 132
"61" 328573.119047203 369946.220063546 268
"62" 330212.446845384 381553.862175256 418
"63" 331331.240787272 383975.268097865 524
"64" 327372.699944464 378097.962509692 396
"65" 331174.118516903 378919.840589435 367
"66" 329292.578001981 372063.300851667 234
"67" 332466.901871739 382931.190493649 604
"68" 330351.363190285 383648.870510813 644
"69" 331536.747173608 376927.657843501 375
"70" 333569.725355638 379738.917640391 576
"71" 333388.976579299 383124.228085025 415
"72" 333963.30777458 378921.740158291 482
"73" 332002.180434055 384303.676570393 275
"74" 330272.653179993 378279.700302256 561
"75" 330810.774256696 376465.802973972 278
"76" 328034.809280332 377445.958252054 171
"77" 325501.683192047 382397.713403914 594
"78" 327919.507388596 374003.407039237 135
"79" 331078.162637316 379213.603319503 524
"80" 331777.641609131 384354.918446285 39
"81" 329482.585118558 377708.908445409 623
