"" "" "ptsT"
"1" 328191.400197039 380747.247334439 110
"2" 330523.912178979 383739.370470801 216
"3" 326884.716168958 373274.674508115 49
"4" 330378.94265294 376526.710835512 274
"5" 335605.06532332 377133.624555397 490
"6" 328727.967587107 375032.067148689 544
"7" 329079.892967591 372132.594012502 649
"8" 335279.353263242 379212.798977826 470
"9" 324653.317127541 382615.644060285 653
"10" 335641.132395997 379390.44470926 231
"11" 326709.008117624 373477.765865439 390
"12" 329404.702692368 382626.377895337 458
"13" 332516.547568035 382575.260569102 206
"14" 332088.489097852 379696.791723237 123
"15" 323886.151951505 382199.708735208 409
"16" 332683.357924936 385918.391981196 594
"17" 328433.226945181 373707.394938518 189
"18" 333998.61968879 387016.863118671 565
"19" 327514.338278828 381337.602018983 565
"20" 329945.903385189 382266.295344267 93
"21" 328683.423427239 375782.416166846 463
"22" 333916.415949035 383721.385771144 500
"23" 332821.965626196 377388.912685705 615
"24" 334531.509181155 378521.255269796 483
"25" 329692.75631154 385323.687510823 629
"26" 336646.175049033 376987.228471026 687
"27" 333910.980388373 383400.11559525 411
"28" 331787.967042622 386239.889652721 53
"29" 328361.690564623 369591.156891812 336
"30" 328678.586386161 371037.227043619 546
"31" 328349.888038466 375399.520689601 57
"32" 326178.291445347 378433.773372036 235
"33" 333288.4471408 383472.655815567 550
"34" 334109.926141525 379456.480142847 683
"35" 333887.112010289 386315.075327597 100
"36" 334090.40997231 380444.369266839 215
"37" 334009.063950373 378270.193247137 594
"38" 327825.94754231 379704.714961136 713
"39" 329707.967881322 382325.698022597 647
"40" 330066.281796556 374029.00423503 328
"41" 334908.60823655 381505.505199958 616
"42" 335286.685707824 382583.519776898 605
"43" 335211.919566162 384314.042275827 162
"44" 331850.692440954 376201.783469812 309
"45" 333492.586786496 386484.95232277 423
"46" 333277.482197984 379512.369661884 545
"47" 333493.982382472 386183.709976646 29
"48" 330748.728969836 381901.126886672 16
"49" 333448.1502281 377099.826558621 644
"50" 329511.889135503 376355.274992043 699
"51" 331958.635042139 385730.619042912 52
"52" 328502.048098767 379619.437126179 668
"53" 329813.325806637 383714.895509025 219
"54" 330362.499585546 381722.894155373 561
"55" 329192.757316094 378640.835494346 415
"56" 328325.141230096 373440.714807167 118
"57" 334006.86283594 384422.195743056 241
"58" 331814.912228469 380628.984885394 703
"59" 329362.145613573 372121.524672342 278
"60" 331282.740382973 381110.660088333 413
"61" 332373.61853281 386491.220537104 26
"62" 330626.361672026 379473.729186596 344
"63" 327240.146287928 374414.536210736 604
"64" 329294.297194557 379786.135761047 110
"65" 329044.495714752 383218.127152591 248
"66" 330378.575197044 385367.005000254 712
"67" 328854.51937448 383354.129076699 640
"68" 329154.499237022 381623.60170197 435
"69" 327574.956860213 370449.275123026 409
"70" 328043.502005658 370706.340180843 281
"71" 333532.049367614 387291.251849923 567
"72" 329902.890179922 371113.356174662 546
"73" 333579.457233467 381102.674046015 532
"74" 333794.960162979 379546.626743628 158
"75" 327205.355745141 374036.769306619 17
"76" 331264.399486474 373283.327574202 282
"77" 324819.074834157 382623.461532201 106
"78" 329747.679182043 380396.318979821 225
"79" 324975.52593831 381856.716056026 543
"80" 332608.832931199 379605.055714378 656
"81" 330248.082770989 375932.287427536 239
"82" 333100.755720214 382081.942420062 441
"83" 328409.823200231 376534.182134552 677
"84" 330183.823477103 381857.34509682 475
"85" 334866.267241283 381315.312461471 556
"86" 329756.977468239 385927.970367797 53
"87" 329384.425088388 381456.470206877 354
"88" 329650.223484555 369991.134764122 185
"89" 329404.773169836 378078.724170744 253
"90" 332521.409578312 379795.271964858 490
"91" 327355.328079994 375487.598592486 239
"92" 336705.011841447 378002.396173195 336
"93" 332139.270661497 383805.668406566 707
"94" 332359.454040804 386559.535552532 235
"95" 332520.83589873 379264.321428982 36
"96" 331622.65912838 376061.946150094 113
"97" 330983.28153146 378405.607599332 6
"98" 334685.354590976 383830.107602046 258
"99" 331258.054943617 378059.03668613 131
"100" 329473.589651897 379646.551755015 48
"101" 329704.823363648 377655.423272388 156
"102" 329729.015413131 373688.878843675 404
"103" 327945.45820602 375849.287918599 143
"104" 326759.947584932 381941.402502451 318
"105" 329196.730805048 375243.205810906 390
"106" 330293.10090024 379388.525659548 696
"107" 333768.474316552 386898.970890789 485
"108" 329560.871074064 377560.919610066 35
"109" 330570.378062768 372873.475902579 374
"110" 331532.762777629 382288.802033541 326
