"" "" "ptsT"
"1" 329457.331415733 370908.962737351 356
"2" 332114.523577732 378611.72669451 308
"3" 331919.266027518 377829.453242676 687
"4" 328750.313779049 376410.998300369 364
"5" 331919.433740023 379618.274402014 254
"6" 328228.276259516 380282.439696395 7
"7" 328906.942207353 375010.304973101 435
"8" 331074.551228944 378268.463348083 528
"9" 328696.634458965 374710.248876542 49
"10" 325941.91374885 377671.462031693 284
"11" 328010.915912649 380127.376915148 620
"12" 334611.384315326 383599.344675261 168
"13" 327204.760095112 378925.408105247 361
"14" 333349.060139474 382513.376068246 123
"15" 325892.448310857 378498.505992702 179
"16" 328936.237622436 372349.499857008 392
"17" 329915.227582085 381410.216095829 16
"18" 327371.575541731 377538.747456102 479
"19" 329238.559074954 375296.024027195 369
"20" 331041.742748909 372408.371913309 277
"21" 333398.432143567 382094.973525698 65
"22" 330252.535893636 373112.820595253 213
"23" 334031.409163131 382135.872604821 150
"24" 331649.059833375 376179.033638549 597
"25" 331064.331948547 382682.267664645 287
"26" 329698.73031475 375962.184274669 267
"27" 329710.90426454 376945.060870472 653
"28" 331927.930002906 383563.095996725 394
"29" 333460.915336591 385305.81204071 472
"30" 335420.326881086 378615.38310669 74
"31" 329749.726683544 375493.529272735 81
"32" 333703.302535128 383614.867207542 687
"33" 333435.878295285 387335.701633341 351
"34" 333093.625303785 382253.858339914 185
"35" 331860.802844901 379094.53341828 392
"36" 327739.168414471 369327.638169427 507
"37" 326768.964029256 382546.23531036 107
"38" 332753.768168789 381056.244696652 489
"39" 336877.8246897 380078.37624484 608
"40" 328248.215596132 378649.33940385 354
"41" 328166.598350353 368902.114384373 59
"42" 329991.956835205 370025.563911112 720
"43" 334104.210313167 386666.195746733 552
"44" 329818.47746506 371799.995699163 659
"45" 330040.837649191 382000.380972756 321
"46" 329603.711126913 376260.521814779 394
"47" 332136.673565627 379830.853476614 367
"48" 331146.852757007 384321.039281514 520
"49" 330995.196993603 383827.766194521 234
"50" 332573.139179324 386357.577324919 617
"51" 329029.110652558 369322.255232372 331
"52" 331480.441018332 378822.669547093 470
"53" 332309.599210468 376893.181234551 456
"54" 327654.546970164 370684.720645874 201
"55" 331894.697192689 382429.033850634 529
"56" 329714.837834736 372273.063774008 246
"57" 328777.125323243 372612.006754764 550
"58" 332472.54535266 384712.912295718 168
"59" 331388.27307568 378755.241239059 447
"60" 336245.700995225 377579.402830128 614
"61" 330690.08773888 375398.229751109 27
"62" 326484.360752844 382810.549163583 42
"63" 328727.646642464 381060.809223269 30
"64" 333612.33930192 380522.124113017 385
"65" 333809.993888418 379891.234836645 317
"66" 328533.796911029 371075.390418953 535
"67" 334433.73340941 379866.622771479 215
"68" 328261.873305881 379709.869374665 561
"69" 328133.428581923 381901.782844922 94
"70" 334555.220260766 379992.336064443 630
"71" 332837.752300137 376141.389381753 248
"72" 334060.035768161 379242.638240464 423
"73" 329443.453375925 376149.228283057 721
"74" 329051.931680871 382840.635268633 671
"75" 335545.850579379 380516.429147095 685
"76" 329960.335690891 384108.506274512 499
"77" 330136.717087806 375078.078077526 339
"78" 333887.588985225 379356.456319413 476
"79" 331960.536556786 376905.440091197 301
"80" 328277.426835368 379097.759017089 356
"81" 330442.184336377 382622.458261452 612
"82" 327894.96508694 372666.645517087 267
