"" "" "ptsT"
"1" 327122.649976252 373686.684818496 364
"2" 327981.959523119 375776.456830657 273
"3" 331839.418334306 377127.712815241 511
"4" 333528.823876841 378425.167405911 693
"5" 328711.371134577 369677.420429443 383
"6" 329809.780190608 380275.356548591 613
"7" 336153.845323957 378934.556357782 97
"8" 335080.142773344 381259.039528455 541
"9" 332822.453620355 376351.188499425 59
"10" 328771.658034291 374432.488460177 95
"11" 334696.577208852 384342.99879964 515
"12" 334751.93787332 384224.019460485 646
"13" 331006.597918214 376982.716188318 470
"14" 333257.773292665 382097.811071591 656
"15" 331677.114295597 382261.795834278 61
"16" 327599.497570694 375830.641222923 506
"17" 331849.13059105 380495.675873336 90
"18" 331841.48244114 383859.679804011 709
"19" 333665.126092145 377340.403845542 33
"20" 330184.312028853 384724.156154667 295
"21" 329572.220441903 379254.056613732 507
"22" 328874.785439046 380570.358044749 643
"23" 333323.892666063 384613.105161605 359
"24" 329967.3989006 384485.829431649 169
"25" 329392.857751892 376461.773775358 237
"26" 330587.42362768 379223.568722186 610
"27" 336974.271014807 378148.221006848 644
"28" 330601.015018095 376489.175142363 177
"29" 328908.262681536 377847.682362488 183
"30" 327987.97143232 382092.766012742 201
"31" 327966.089434918 375470.880863479 581
"32" 328256.336807641 369919.802991445 662
"33" 328014.06063092 380496.246185542 449
"34" 330424.24156668 375596.308781354 549
"35" 329691.978244242 376064.718335237 163
"36" 334898.661886767 384683.87338831 456
"37" 331472.475269325 382447.758572521 658
"38" 332751.940266359 385229.26338974 425
"39" 333933.183459616 384975.266372221 562
"40" 328473.6603365 373201.230839115 111
"41" 332766.319957907 378548.98625162 291
"42" 330110.765450995 380207.911427761 354
"43" 329732.743184634 369670.763755504 712
"44" 332280.035774292 378802.05998654 497
"45" 329229.036749358 381077.093131193 250
"46" 331080.402470327 375894.631345472 641
"47" 326705.357147488 376324.434282053 366
"48" 328564.68134158 383187.78629927 153
"49" 328848.134545671 371658.94332199 171
"50" 328661.487969097 370501.200013167 78
"51" 328733.392594338 382537.747230447 314
"52" 332047.313644657 377345.578808044 34
"53" 331517.613022254 384438.495695089 187
"54" 328616.638983728 380561.63736548 722
"55" 325639.167891352 377449.25274668 95
"56" 333446.150193237 381330.6855869 219
"57" 335584.80511686 383900.908354942 137
"58" 327457.035028373 377617.740634867 199
"59" 333464.118649521 386106.09699793 629
"60" 332597.304471238 385807.266188622 604
"61" 329136.412829833 376300.112673356 174
"62" 332722.555748908 379229.997909433 647
"63" 328095.34114271 375517.123028592 694
"64" 333601.489032462 383206.856076756 556
"65" 334837.345014403 383559.519371585 352
"66" 327549.138457061 377347.530482266 716
"67" 329423.512485534 382389.491178013 304
"68" 326320.819555614 382155.623336295 313
"69" 332898.958211884 377087.544712868 679
"70" 329221.750418234 377833.026216552 347
"71" 329220.269378231 379328.955385083 44
"72" 328059.976967939 379385.33650634 264
"73" 331571.549745402 383465.885478725 323
"74" 330361.24340773 373203.914593956 66
"75" 329053.051323681 378095.836705494 378
"76" 334354.867606821 380499.592517387 554
"77" 327744.116048973 370375.444469227 88
"78" 331509.993085091 386082.547477335 637
"79" 331732.837475841 384632.245171171 608
"80" 334167.144437545 379051.687808882 378
"81" 331917.922688703 384986.710536729 693
"82" 327928.340793461 382172.1659119 491
"83" 329920.176474567 370120.612152498 192
"84" 330039.949869055 381829.64903663 536
"85" 333742.184612974 380509.525907828 298
"86" 330500.202809539 373768.111401437 512
"87" 327052.453126571 382528.537357808 107
"88" 327031.79149876 378459.160702842 30
"89" 328221.677999137 373920.402064578 698
"90" 327933.218038894 373864.628259765 461
"91" 330668.787421132 382761.483874398 79
"92" 324289.463705116 382851.502788206 59
"93" 333039.39151381 386418.442117635 494
"94" 332361.946000163 381605.404661437 344
"95" 330060.761254259 384675.602185421 41
"96" 331378.189269506 377850.890862478 372
"97" 333178.521222283 378557.122827007 531
"98" 331229.238614836 372354.001681996 356
"99" 328902.119306647 380731.623885159 702
"100" 328353.156841143 370647.823356306 504
"101" 335081.882107196 381789.099991696 467
"102" 333218.682539773 377821.777875085 574
"103" 330030.664798447 371283.975162943 43
"104" 328159.676591972 371586.533353916 659
"105" 333004.840446175 381540.21045757 637
"106" 332655.035948212 382271.209355371 340
"107" 332601.188082636 383623.552473575 646
"108" 326783.456714589 375506.37853471 341
"109" 334524.860516585 378862.716858332 373
"110" 329203.309519141 383394.246575327 614
"111" 327790.38727229 370735.842199888 633
"112" 334768.256128719 383515.404418439 3
"113" 334825.176341329 378704.303052673 145
"114" 329564.228826112 376828.118458302 453
"115" 334753.038551234 380084.696028246 607
"116" 327761.689322807 376582.266739875 228
"117" 323773.980583267 382628.212519071 651
"118" 334271.157310473 378754.01171956 516
"119" 326677.182656994 377931.314795876 710
"120" 330116.971602475 382284.390256673 587
"121" 327459.70512447 379533.794996099 352
"122" 330824.034795027 377308.10653605 399
"123" 328132.178391411 369194.936531913 75
"124" 337189.237643736 379461.046340911 628
"125" 333217.439461947 379781.013431268 634
"126" 332072.443463672 382170.02166815 282
"127" 326920.163346595 374820.638901481 484
"128" 332926.152899321 386582.55685548 238
"129" 331248.972768149 386047.022861833 10
"130" 327074.849049514 376140.578886111 491
"131" 328413.887001934 369742.820140915 350
"132" 335121.538791195 384388.143753289 711
"133" 329216.473672421 380115.129298316 472
"134" 330349.56241942 373185.616587266 236
"135" 334238.563217392 385502.081903278 709
"136" 331729.290584832 382679.93535623 630
"137" 335217.765136436 378434.388223403 546
"138" 327963.389942893 373047.663779969 693
"139" 331928.195382242 382546.993320761 704
"140" 328087.021350592 371385.249358748 363
"141" 332098.783816237 379461.991262946 631
"142" 331755.33327558 378054.123099591 723
"143" 330296.084794295 376073.8095351 554
"144" 333870.702377958 387580.950169252 349
"145" 331761.241530646 383870.614673088 698
"146" 333015.678962022 378927.31875303 85
"147" 329633.540095423 377749.930845183 382
"148" 327208.099905648 377215.178123661 117
"149" 332085.383995745 385436.564269841 668
"150" 331173.291296595 374685.804134896 541
"151" 332722.406960499 378442.051081952 358
"152" 326429.237299164 374081.871142284 128
"153" 330010.626489422 371871.410570491 252
"154" 329326.348377561 381081.336176772 333
"155" 331481.642049033 380330.402098344 160
"156" 329609.844349565 375047.288847227 600
"157" 328946.435200982 375182.349192194 393
"158" 326486.880510157 382716.209901981 225
"159" 326783.652180848 376393.793523166 158
"160" 327343.705499345 379083.989037785 115
"161" 333520.290241759 380025.998043823 21
"162" 329311.435775175 376384.890539917 468
"163" 331368.653408728 379859.775825135 141
"164" 328006.557254084 373922.825426661 313
"165" 334248.796451166 381185.509248081 450
"166" 332677.770577113 384434.29533399 600
"167" 327923.085338105 376063.335091724 309
"168" 334316.648960316 382152.691018432 642
"169" 328991.351607268 374628.773830561 217
"170" 331905.662104905 381957.27869337 684
"171" 335335.427205649 381557.507548732 393
"172" 328565.360844462 371890.112079815 654
"173" 333731.617722162 385416.289106057 519
"174" 328536.568879689 379397.816548233 105
"175" 331157.885623932 376005.783099113 693
"176" 328524.043997738 373303.552049329 71
"177" 334521.100078408 378202.046824455 292
"178" 330145.206652796 369054.131908852 175
"179" 332630.992149946 378974.168592117 712
"180" 334187.872605686 383498.377525264 49
"181" 329473.813337703 383854.505279483 251
"182" 329474.60760234 383175.717044662 644
"183" 331971.053845795 382265.514626311 721
"184" 328888.811036484 382897.546868909 384
"185" 333753.535510788 384179.976410867 341
"186" 328577.2641484 372189.315675556 632
"187" 330209.977227066 377937.616068224 581
"188" 330986.172277212 378270.731623074 599
"189" 331395.076798159 375809.768176987 663
"190" 330166.090280039 383824.593554679 4
"191" 331570.826284627 385664.786900251 581
"192" 336157.843193919 378149.811107638 56
"193" 329454.4768352 371837.190282939 373
"194" 336386.660952089 376503.29573684 72
"195" 333763.211286118 378017.314012401 130
"196" 335907.084649892 378359.649356847 500
"197" 328215.138962406 379911.902736974 719
"198" 325825.238047988 377105.132729755 345
"199" 332110.155895711 380659.399206432 380
"200" 330672.793845357 378537.005418375 593
"201" 330082.503741702 381368.765242375 11
"202" 334780.567827296 385549.350596396 722
"203" 332696.155999298 382331.128242848 64
"204" 330436.765738042 377742.502101019 443
"205" 328067.414185238 380452.908254396 415
"206" 330098.488367262 378699.071274362 562
"207" 330950.309826847 375400.871438208 382
"208" 334168.360292009 377999.013730932 638
"209" 328642.031434923 372349.417236551 687
"210" 336885.246617445 379969.949781959 18
"211" 329242.532618307 370929.763969141 68
"212" 326586.027330272 377582.239330248 203
"213" 329232.314177696 379273.942576038 559
"214" 333468.348558955 387023.368647273 525
"215" 334067.932464277 383240.753149256 155
"216" 332291.794135159 384982.930464244 163
"217" 337038.360688818 378275.689006901 348
"218" 333642.807184764 386532.55252561 204
"219" 329337.138192591 381001.692889824 723
"220" 329506.642010014 378700.517451898 180
"221" 328304.474818563 380164.07805096 19
"222" 331777.662726191 380636.510859539 538
"223" 334016.108252985 382045.164352972 580
"224" 334475.63424095 383927.13976676 277
"225" 332585.633441367 377137.796537641 548
"226" 333083.269076988 386042.02266839 242
"227" 327618.730905254 379202.611862541 352
"228" 334922.551745707 385016.911739266 311
"229" 326268.917961566 383265.632257217 221
"230" 329460.133790105 371242.851376915 299
"231" 333118.818895576 382796.471137389 498
"232" 331998.663652962 382315.199249381 599
"233" 333702.73052152 386176.472362956 414
"234" 328589.855373485 379691.563466586 387
"235" 335534.372649406 379041.240148889 536
"236" 332916.054116388 383377.586940295 530
"237" 329497.406500409 370498.688167152 362
"238" 334619.440050687 386569.953247135 536
"239" 334570.581798738 380588.516342558 558
"240" 330140.162119851 384112.151875912 484
"241" 332529.978858422 383292.608929062 262
"242" 330428.222742911 378843.888627363 708
"243" 330241.868085646 380377.071076974 344
"244" 327983.264694147 374758.058256127 588
"245" 330824.127460538 380819.407045698 429
"246" 329553.546717952 380895.174437951 184
"247" 329403.802356235 379792.294410653 275
"248" 334723.376261646 383246.076338764 52
"249" 330586.973937306 383466.729224554 232
"250" 333131.562404214 377853.994034458 17
"251" 325403.345303934 381651.703213325 221
"252" 328034.241231059 380705.985385841 660
"253" 331456.973126612 377965.266248519 566
"254" 328100.812436797 381531.523497744 87
"255" 328468.059708491 369938.101199246 306
"256" 327998.525699134 377151.232777136 454
"257" 331319.397063976 377091.936499403 367
"258" 331634.834111753 377811.016966157 566
"259" 333169.264653417 384967.161974433 303
"260" 326960.145170769 377139.566636349 194
"261" 326912.829987427 381831.674272421 114
"262" 329011.470515399 370564.958354207 15
"263" 333528.405768559 377439.706854986 658
"264" 333561.664132766 386125.489521211 705
"265" 329849.742390298 370289.75466267 525
"266" 326719.585442868 378167.422632049 386
