"" "" "ptsT"
"1" 327956.263514601 376734.831980732 272
"2" 327679.388728808 375157.126212949 558
"3" 331317.678938983 378512.998372531 631
"4" 326990.540862573 375013.193493675 314
"5" 333433.965061027 381849.286940926 634
"6" 330161.899126582 376529.606533478 339
"7" 329523.834986358 382124.551005684 547
"8" 333245.721428114 386854.188096027 157
"9" 333129.700801526 381889.937059276 361
"10" 330349.350392027 383650.082068954 611
"11" 328388.345286337 375161.609763742 560
"12" 329206.939069622 374782.535447989 454
"13" 330872.363954277 377359.970221715 23
"14" 332620.056735656 376421.901130389 67
"15" 333162.914123256 377351.008438371 488
"16" 329967.751903328 384771.542751873 265
"17" 336012.001197699 378483.199470436 217
"18" 328240.301499096 371773.262187183 698
"19" 329139.628610362 378359.62575994 712
"20" 326787.60588552 377216.240654824 573
"21" 332396.784070787 381884.020058976 3
"22" 327854.062809155 373344.231985588 69
"23" 335311.401345495 379809.410252546 375
"24" 326975.858099895 378019.192424485 638
"25" 330516.934780491 381436.751139055 308
"26" 332316.38217968 386336.794201967 136
"27" 330293.045079937 386374.4341997 178
"28" 336511.575774566 377573.714187997 201
"29" 327099.633131485 374260.826457341 532
"30" 323825.805715944 382381.807922441 429
"31" 330125.840339573 383660.178505975 436
"32" 333165.504429436 379870.083141632 524
"33" 327671.984307381 380534.208062063 697
"34" 333489.69194381 382722.817464858 385
"35" 336328.660522437 377291.149924117 521
"36" 330333.244279619 376993.567896176 614
"37" 332341.897433502 378988.101394546 289
"38" 327010.15960814 378086.207822407 405
"39" 326785.425527754 374174.550692222 38
"40" 331760.434298617 384908.555401208 113
"41" 329154.84848621 374254.368216404 214
"42" 325619.574342779 378001.010923051 419
"43" 333345.992491164 384367.352416111 640
"44" 326644.611731141 381649.720881001 203
"45" 336282.956036014 380095.130365819 18
"46" 328588.440353622 374286.479803047 346
"47" 329640.485667022 374084.361246073 481
"48" 331922.050399179 380469.126019477 451
"49" 327898.399208561 377277.799987626 78
"50" 330348.234397358 386247.384003436 327
"51" 334934.166040689 381094.168174571 583
"52" 327558.571340294 380992.447545851 97
"53" 327220.438405993 379756.994756797 176
"54" 332460.654030129 377960.377711348 538
"55" 332833.16284988 377056.138749707 533
"56" 329234.170048076 376129.812609781 469
"57" 327170.939383341 375861.536009157 621
"58" 331059.622194623 382317.893569201 685
"59" 327854.11914965 377941.964665269 275
"60" 327712.801477734 374115.952015916 87
"61" 332522.883617828 386665.548346831 572
"62" 333696.818954906 386088.475949843 543
"63" 333272.652225391 376856.529880167 445
"64" 329428.485521027 372374.698542165 430
"65" 326854.712463656 376447.963350599 322
"66" 331207.785347146 382572.937404489 428
"67" 328153.56452378 379929.695349767 515
"68" 333302.012531832 386976.624145134 651
"69" 332154.757790051 382447.743471395 500
"70" 326815.009197005 378837.477441697 14
"71" 328601.85787423 371674.456853482 481
"72" 335939.639092809 379745.097848989 443
"73" 331384.678473238 385003.939049381 683
"74" 331552.407886372 377097.990290255 348
"75" 332543.798368171 378026.053417245 135
"76" 333788.09739365 386330.886658307 595
"77" 331597.223542077 384421.671650398 276
"78" 333929.042332955 387820.688264368 453
"79" 334544.947237433 384698.932071552 433
"80" 329662.107147009 378375.069363251 50
"81" 335000.65678672 379380.005947267 303
"82" 332262.285210307 386249.10620668 343
"83" 332575.760108811 379305.948700597 419
"84" 333137.787588588 384945.287798452 693
"85" 330903.982280035 374878.135280474 122
"86" 330718.838033922 372539.492522329 234
"87" 331471.094055118 377213.764534883 646
"88" 329902.853497912 369442.297974167 709
"89" 326216.374260635 375558.938717931 384
"90" 333879.288375599 381908.377076441 595
"91" 327897.649996599 375049.3612813 191
"92" 329337.189137372 373515.665777735 337
"93" 327372.115670652 375746.194428112 423
"94" 326888.559793599 373332.170368691 441
"95" 333170.962031943 383696.221028885 675
"96" 330475.87670021 382391.502787484 247
"97" 329463.628138358 370637.306907756 714
"98" 326711.778532509 381768.255360369 146
"99" 331336.2925553 372863.193523722 689
"100" 333535.850554137 383712.108660729 423
"101" 335046.459103171 383639.634788836 690
"102" 333685.254448724 378562.674026095 527
"103" 326162.453707627 375535.002368955 364
"104" 330174.227498491 380609.193824661 667
"105" 335425.283620642 377994.622918664 702
"106" 331242.837097537 380303.523599461 251
"107" 326286.121423342 381977.148888653 131
"108" 323799.026763627 382271.068381731 72
"109" 329530.027463257 373605.69129689 695
"110" 329337.837418555 369455.085531125 373
"111" 327377.261685167 381330.009674069 282
"112" 332240.746376191 386200.891358053 649
"113" 326679.836399353 376361.690052429 306
"114" 330402.28414489 378803.650212465 646
"115" 331171.815829102 381432.191537399 289
"116" 334244.657354272 378895.208739514 253
"117" 329328.817683084 385697.084629839 285
"118" 333204.750899826 383907.048185121 478
"119" 328259.290142987 371525.716264492 125
"120" 329676.558424407 382674.311578778 173
"121" 327540.511707675 382657.41421385 528
"122" 328949.833602777 374068.629371689 99
"123" 331528.303701677 375545.885186295 730
"124" 327301.700806274 380501.956954241 491
"125" 332073.89929308 379409.074323993 113
"126" 329014.58096222 372527.892886384 254
"127" 332305.345430018 384683.913686285 368
"128" 328374.196954272 374786.006892599 281
"129" 333104.37434667 379045.214399782 411
"130" 332001.607937653 380030.174696287 86
"131" 327686.39754619 376718.583427946 174
"132" 326760.135948705 375920.528253263 408
"133" 331428.961843696 376306.431455681 638
"134" 327857.682659592 373405.620710075 12
"135" 329353.859868508 380649.226025835 266
"136" 328120.253239424 380474.815372196 573
"137" 326856.735196554 378056.813173756 7
"138" 328091.421066897 378376.185443303 184
"139" 333122.546786076 377893.646714249 510
"140" 329418.58490391 375225.662047157 674
"141" 326828.119998342 378885.856767019 178
"142" 332008.597283549 377822.184398837 157
"143" 327093.516741963 379937.252781985 725
"144" 324315.235522216 381949.307439341 497
"145" 334847.368651744 379741.190491751 645
"146" 331218.338359381 373947.93013535 240
"147" 330925.685372311 379755.947366982 216
"148" 330018.343433826 376458.105627292 118
"149" 329089.586147242 371801.74599524 55
"150" 326870.855601469 381500.762784843 237
"151" 332601.668352119 385439.170847603 60
"152" 330222.380418172 370487.479506922 724
"153" 331952.896644943 382663.129987954 364
"154" 328205.657106359 376309.960489257 266
"155" 329981.986502207 377270.93882504 71
