"" "" "ptsT"
"1" 334616.141906481 383705.659876431 232
"2" 331952.72879984 378312.774910833 517
"3" 329253.208521567 382231.679357149 88
"4" 333172.404703562 377167.319811778 241
"5" 331524.837756568 382184.240261295 213
"6" 332600.355810009 384939.948131331 476
"7" 330191.538663736 370713.743191866 511
"8" 330163.688130237 370324.754220186 241
"9" 329898.321051139 373482.710141364 568
"10" 331144.509582657 377501.298892743 77
"11" 330154.140614445 374394.705419606 343
"12" 324264.699750822 382035.381133602 468
"13" 329447.60166967 377933.533687189 246
"14" 333381.813417996 380720.872741239 361
"15" 330997.571512049 374840.972181586 457
"16" 332934.567179321 379685.932364261 243
"17" 335887.696964612 380520.92590858 492
"18" 329848.642477371 371381.909632249 659
"19" 333922.395164361 382983.533487009 482
"20" 329535.748129738 380085.344755475 397
"21" 331596.203483667 381413.317560609 308
"22" 328930.570994687 369032.200327138 464
"23" 329824.613108473 380813.32417434 566
"24" 328896.378692687 376679.498186721 442
"25" 329397.824817082 378007.123648072 138
"26" 336723.720085044 380346.217951794 4
"27" 335397.084313946 381192.959408226 598
"28" 328225.601685691 369438.20338352 530
"29" 333804.251846481 382855.457643156 689
"30" 327465.596179213 376562.931729584 722
"31" 333353.168732057 379628.806268998 22
"32" 323701.548510901 382700.488418281 195
"33" 337155.096810109 378880.888107625 529
"34" 327861.624607253 381462.428528578 667
"35" 329638.276593317 371227.477196776 304
"36" 329162.330001398 377590.290304281 709
"37" 326361.585243994 378958.039020475 337
"38" 334797.674574225 382650.705975308 522
"39" 329670.386653175 382698.75664667 447
"40" 329947.841534247 380603.60091089 62
"41" 329698.867441347 372126.228822927 131
"42" 330410.159438351 374602.678856235 493
"43" 333224.501910068 385303.477426235 691
"44" 326026.947688129 382671.074972549 720
"45" 335129.452133444 383139.356285289 402
"46" 327278.494873546 381278.312261683 613
"47" 329560.971256854 373110.671118173 670
"48" 332124.773355639 385860.986454763 577
"49" 331498.497828996 380689.968426861 618
"50" 328730.454847741 382227.788933373 211
"51" 335399.022146809 377050.501144825 715
"52" 330025.991145143 372191.68524295 504
"53" 332226.098367755 386036.764835162 524
"54" 327267.394368108 379847.454722709 143
"55" 330084.782147093 372527.710497491 520
"56" 329515.349780098 383743.756013987 494
"57" 332689.920948282 385222.615368 344
"58" 330172.032160565 372578.858674 129
"59" 326948.515854828 373498.161239374 327
"60" 328896.432864017 374970.694883939 161
"61" 335175.266339504 384515.567138206 730
"62" 330409.472594987 374746.663627246 676
"63" 332180.607700496 379219.839517125 278
"64" 330071.505380823 376859.272327845 184
"65" 330721.045387254 380894.705091904 300
"66" 329573.444694232 380406.003378206 506
"67" 333665.251335933 383338.647669177 661
"68" 330077.721113349 384267.125216839 300
"69" 333578.581917532 384664.355072959 499
"70" 330349.597693853 385887.578438933 395
"71" 328086.400602166 372950.111593957 144
"72" 329476.021578421 379209.237860502 235
"73" 330713.20833298 375529.259726556 622
"74" 331764.564739249 378594.794528614 5
"75" 331510.169542255 375531.367627495 433
"76" 334838.797426866 378312.052237693 71
"77" 330175.793003336 374299.099397402 402
"78" 327358.602985573 368852.548630721 279
"79" 332340.076330964 379700.721104254 109
"80" 328535.191531221 372702.776966369 606
"81" 326585.359774798 381991.203201743 417
"82" 331785.039162667 384148.92211312 675
"83" 332662.770266337 382047.50750345 167
"84" 325699.745598593 377417.238591129 170
"85" 330070.649162381 376820.27246005 584
"86" 330101.820041729 377204.30551377 207
"87" 327740.328027039 370837.460463618 576
"88" 329332.602322073 381722.069917213 456
"89" 326808.94526864 382920.204913569 431
"90" 326822.932011502 376271.106238509 322
"91" 328523.213306086 382626.200529725 253
"92" 330665.612718743 377957.859568356 561
"93" 334409.421817847 384809.62994227 561
"94" 328893.745142603 369201.699829905 357
"95" 328003.364038992 379323.75192306 129
"96" 330691.014060796 384175.263295245 374
"97" 333229.419138858 382414.68724874 485
"98" 333210.837998819 383561.78455842 114
"99" 328009.985908592 373161.661870244 6
"100" 331055.369359357 372532.511265789 196
"101" 329736.907447923 378239.600613035 507
"102" 327348.367473837 374144.64176955 720
"103" 329643.832362447 376113.349722895 331
"104" 332689.570335716 379577.433439213 174
"105" 329778.471956867 374548.713959891 207
"106" 333846.597543873 382741.797234446 145
"107" 334438.917938505 386312.191401269 59
"108" 334191.143655727 380812.398938739 580
"109" 328001.510293578 381055.768548618 383
"110" 329693.61454615 383861.809768952 304
"111" 332444.747851508 380160.954008231 305
"112" 333388.39211169 385860.419270935 261
"113" 331616.101915541 377330.191068622 98
"114" 326849.642777915 374345.879710528 531
"115" 330279.448820801 374825.788269382 494
"116" 333382.878243486 377362.771876176 726
"117" 331763.782772214 384677.451852182 184
"118" 329909.490782864 384827.152745888 52
"119" 327596.790265595 376904.828904502 708
"120" 325984.276670365 378781.386624957 198
"121" 334443.689537435 380370.127642522 616
"122" 329781.057815917 371696.244123129 503
"123" 328472.943315221 382011.272482517 723
"124" 330443.727255385 384391.281574287 355
"125" 331238.028456202 385989.267524666 320
"126" 333235.198019203 376999.496100537 695
"127" 330412.98126041 377280.188937554 213
"128" 332909.445135981 380589.258366949 724
"129" 335335.994530733 381806.503201902 604
"130" 325936.558552696 378303.843906258 439
"131" 331524.632093872 381373.878602649 263
