"" "" "ptsT"
"1" 332504.061329863 381974.789448265 349
"2" 327598.796532558 373170.875389677 495
"3" 331613.698626756 379772.846957527 481
"4" 328427.374099024 380083.501408036 701
"5" 334229.926172972 380734.045079724 101
"6" 331440.028744074 383832.416997328 249
"7" 335010.964611894 385114.681941925 274
"8" 330319.278443021 380798.599011921 696
"9" 336209.132886199 380484.508136757 100
"10" 334780.728991506 382674.19653939 535
"11" 327977.370576054 374633.956372674 306
"12" 330933.859891564 374005.869099353 697
"13" 330313.031845791 379451.023014078 364
"14" 324721.93399881 382138.347719211 71
"15" 333512.007458046 380790.384678471 271
"16" 335077.070966901 380221.973700338 625
"17" 332954.475382637 380332.928585166 572
"18" 326674.866624407 380192.709911729 83
"19" 336260.647661663 378580.659530192 338
"20" 328666.750533738 370104.321911843 319
"21" 330058.512224397 375136.504451723 274
"22" 335980.642705966 377063.676106678 153
"23" 333802.519009924 386551.461164826 640
"24" 327486.651554697 368937.398972857 612
"25" 323990.097393316 382285.495119256 479
"26" 326905.633649457 378307.915016195 226
"27" 329297.487298699 373193.004403311 162
"28" 332840.652548736 378527.886836269 262
"29" 330067.320340468 382943.620736237 447
"30" 335919.578792937 377155.569271828 387
"31" 334049.556364743 381174.62291802 622
"32" 329470.269418246 374135.890369612 336
"33" 328500.370385525 370868.95073656 155
"34" 333119.215618201 381416.883406253 501
"35" 329985.065625332 377972.807507025 442
"36" 328897.881407342 380006.26329389 376
"37" 327686.604069072 378957.387853112 683
"38" 326949.87868893 380999.664780395 367
"39" 333164.863835529 383669.254171207 667
"40" 332747.875692869 386811.867298814 259
"41" 334779.767537955 379552.89637467 193
"42" 331143.130367619 380608.976956576 386
"43" 333882.218115324 380248.723953609 369
"44" 332389.781798299 383448.710295975 393
"45" 334496.927871005 377700.506328848 176
"46" 328733.816778322 380384.484241817 269
"47" 330865.66656169 375428.781971039 151
"48" 335840.679616484 376921.964365792 30
"49" 329571.398797505 378402.600817141 504
"50" 334809.263165621 384029.017368537 666
"51" 327320.756106095 380393.52802888 260
"52" 329973.525952351 375912.099911958 471
"53" 327946.286708107 381583.411455151 225
"54" 327658.007550159 373154.536422304 470
"55" 328913.173878823 375914.990233584 67
"56" 328606.657645107 374691.160284099 571
"57" 331283.62933609 380631.639072596 579
"58" 330371.263342531 378446.779084183 89
"59" 328166.678793061 374014.568711233 474
"60" 332783.626801822 378840.830584467 486
"61" 329254.690615553 376620.985446952 171
"62" 329902.618452888 370391.702232851 275
"63" 333255.723312604 384515.063831384 385
"64" 334210.511026333 387050.126337144 520
"65" 329035.843781971 383040.677784961 626
"66" 330775.903142003 384126.201965693 423
"67" 326721.830834789 382895.324371023 213
"68" 330549.890869155 375684.893700423 250
"69" 330774.040726728 372605.444213712 124
"70" 326275.36843652 378662.451664075 176
"71" 333375.534895279 382016.833044393 537
"72" 331285.477879587 377612.288010962 460
"73" 326109.711745682 382095.233185522 632
"74" 329200.976021036 372777.089359061 682
"75" 327954.201621131 370085.398712263 499
"76" 328539.090894566 373300.640633499 13
"77" 330854.692646418 380770.031001342 720
"78" 335885.623606527 377666.820296713 506
"79" 328436.034800265 374676.194732664 431
"80" 329290.951121322 378404.817938686 108
"81" 332818.82935339 378612.535979023 103
"82" 328827.386732646 374034.794755017 211
"83" 329638.945797764 369873.580222274 378
"84" 329274.572537292 379310.062932987 384
"85" 329811.478167525 374872.192193972 139
"86" 329165.556308158 382112.976276095 679
"87" 330554.451549074 383350.357526809 459
"88" 330956.243578104 373267.7224885 306
"89" 326910.033188965 372810.926098561 633
"90" 328256.82608358 370413.795118191 488
"91" 326619.215485607 377849.03036706 558
"92" 329966.411967858 373163.003676159 303
"93" 328078.880572397 370598.836625156 138
"94" 331286.544180654 380605.378504298 271
"95" 326343.709976812 378915.926251446 346
"96" 330235.804412277 386478.321869106 222
"97" 329795.19757672 378983.860346659 29
"98" 326392.056795379 375451.778644716 388
"99" 334452.884030099 378051.830651179 647
"100" 331643.987509277 378825.451050333 161
"101" 326481.176459209 383211.435945831 416
"102" 330270.373227627 385806.792936571 433
"103" 331300.541493946 374755.448929861 482
"104" 336201.943691515 379351.444676108 37
"105" 328028.425056713 371243.218930019 45
"106" 328183.657953641 376306.26177694 170
"107" 328719.277000346 378561.365760859 584
"108" 329930.524929089 371006.685044546 171
"109" 328461.056297021 370973.67840221 450
"110" 329683.798342876 371231.042604447 343
"111" 328763.929768068 373008.496552902 579
"112" 336104.904069142 379347.693004824 597
"113" 329076.853569428 381661.873824183 436
"114" 330710.041640862 373441.729943406 688
"115" 335979.937764693 378708.492991805 630
"116" 327960.950135296 373542.692803056 234
"117" 331905.402954269 385375.010702192 267
"118" 330594.908638012 377802.934650248 154
"119" 330734.543170373 382058.746643017 305
"120" 335106.868173121 382056.821117564 258
"121" 327393.205337985 378693.092712057 279
"122" 327544.394785282 376970.551790804 630
"123" 332315.496347714 378662.604065232 43
"124" 327359.014858355 374262.589423348 171
"125" 330600.558463231 381001.2422336 167
"126" 329388.008855204 380829.124171384 329
"127" 331860.434389421 376107.241632343 294
"128" 331211.27656405 373291.695586976 99
"129" 336257.69100797 379599.87767266 176
"130" 329726.633907797 372875.074637691 395
"131" 329250.243497209 381842.096409321 627
"132" 332175.103379339 376432.785377844 519
"133" 335469.727784715 383884.321106102 549
"134" 331385.641878358 375744.529635069 527
"135" 334150.511432203 377824.851912929 642
"136" 329321.374900074 379503.980304635 413
"137" 330033.744638961 378249.094850743 89
"138" 333873.24269134 382192.094353107 120
"139" 330510.287945092 376645.823957508 332
"140" 333333.554114024 385266.658024336 133
"141" 329443.943396451 379983.821777662 468
"142" 330745.08233463 381430.424267638 379
"143" 333253.78240619 377808.261611687 441
"144" 329681.108710693 376576.241882047 375
"145" 333362.794854585 386842.066476844 730
"146" 326824.896877331 375762.015765161 301
"147" 328929.951759237 380522.467832352 527
"148" 335731.520732442 380683.806680161 103
"149" 327364.596378672 376817.951051797 145
"150" 329980.967137386 376679.328829756 62
"151" 332918.271278563 383668.153464898 254
"152" 327161.43417987 381155.274486989 510
"153" 331635.500161051 379252.242471934 714
"154" 326961.984500415 376359.448189885 656
"155" 326211.238068563 375209.542946642 527
"156" 331371.806929457 379901.658032723 145
"157" 326219.629851124 382150.218572101 707
"158" 324993.320211993 381954.242348008 458
"159" 330728.693292368 374361.52205074 110
"160" 328996.64713098 370110.234693302 429
"161" 328642.110888247 382157.857811398 628
"162" 334210.459636159 385151.812242006 170
"163" 328021.753870905 377148.554657843 631
"164" 331521.37792456 379481.045505801 458
"165" 331058.561323269 376133.288599477 56
"166" 331466.094394652 375453.915496556 422
"167" 327744.729429717 373339.298618764 717
"168" 334781.924065504 383747.403376218 309
"169" 329976.182057673 375286.918477017 454
"170" 333086.661573078 385800.334610721 335
"171" 333649.633255083 377772.473837047 256
"172" 327912.365772747 373463.839413618 513
"173" 329562.163699294 377219.41046125 579
"174" 327323.175459621 375563.576721203 324
"175" 329015.8891898 369580.43612444 220
"176" 330525.599378069 382113.161252604 522
"177" 329126.651270482 377278.857946888 349
"178" 331839.48592522 381487.194755731 325
"179" 326961.379072143 375422.92007041 607
"180" 334120.735445042 378848.332206426 157
"181" 330207.822970681 384372.189419962 665
"182" 328912.667562359 372238.811393769 528
"183" 336502.100443015 377314.219372798 320
"184" 326704.474548869 372954.8885553 172
"185" 328853.991906955 374475.272583545 574
"186" 335707.348939833 379184.715123929 115
"187" 327883.083141458 371151.131001008 21
"188" 327156.796929781 376962.924117567 387
"189" 331897.512099259 381641.255977898 545
"190" 333362.262198744 383717.516186833 169
"191" 330839.502078099 377536.899880885 475
"192" 327512.086556209 377961.982698747 655
"193" 327679.61824212 376894.14302748 294
"194" 327524.611356561 379041.165452166 657
"195" 329516.158953496 378219.21806098 220
"196" 327077.67170456 372972.70697721 226
"197" 328301.026199575 381989.785108101 79
"198" 331913.480728076 377710.230243114 190
"199" 334834.10025954 385894.375447429 599
"200" 334791.715285979 384053.564256187 8
"201" 330978.217493028 374012.793455171 683
"202" 330147.471917398 375537.528757457 195
"203" 326942.898097894 375550.202620229 499
"204" 335574.100820656 380175.912583384 422
"205" 328027.280482104 381512.309940016 23
"206" 331312.370743674 373736.806002214 196
"207" 333068.579079226 379898.523903211 414
"208" 328913.749523574 372169.922620451 462
"209" 328284.614024085 370438.134455852 107
"210" 330018.839747652 379701.149902056 700
"211" 334931.142605269 384069.566382188 601
"212" 328199.144344406 372273.229609313 484
"213" 331086.370598431 372856.684544966 112
"214" 330328.274293876 382202.058732365 334
"215" 334305.127412443 384600.036779113 291
"216" 333441.325776155 386789.987120816 367
"217" 331234.437512101 383721.500403843 593
"218" 330309.511280559 382547.837652044 651
"219" 332088.035589339 382808.663860129 567
"220" 333472.861785836 379725.800495428 30
"221" 329427.48461111 386096.006048978 94
"222" 334263.654236232 386943.728511048 491
"223" 330108.457554478 383944.532505838 683
"224" 332709.850734451 379368.015929999 307
"225" 327779.529043559 378301.748487547 141
"226" 330181.500226433 374891.146990167 646
"227" 330696.775516421 373183.585228793 703
"228" 333934.134077541 378450.612249707 698
"229" 330520.604147732 381662.771574751 298
"230" 326392.563815632 374709.45471997 603
"231" 334680.099326017 382498.732493919 360
"232" 329542.151379451 374022.189274114 411
"233" 330878.327591053 386088.051902706 267
"234" 330171.252012501 378332.25152044 261
"235" 334833.417672907 384269.086092961 494
"236" 331364.267244605 378540.489729557 331
"237" 331420.190430034 375920.461685853 586
"238" 336924.016663691 379561.569310425 196
"239" 327849.276903255 368821.042917 497
"240" 336167.405883666 380574.824831906 20
"241" 327736.140776719 379378.030193474 501
"242" 331822.661213958 380099.262121594 295
"243" 335847.28307878 376214.519109107 75
"244" 330544.626046949 385913.895434228 28
"245" 335869.798805599 378857.461018328 717
"246" 329900.614011695 372888.556073306 203
"247" 328138.773404843 372438.996157434 31
"248" 332363.165886962 375693.527526987 472
"249" 329596.343588094 383433.498836171 250
"250" 333674.236255964 378960.626416813 676
"251" 328970.490892257 374383.425995471 411
"252" 327189.459773156 373555.779482088 113
"253" 330263.92294647 381277.157282488 460
"254" 328977.011868478 378644.382864685 656
"255" 334248.515153285 385093.145273213 297
"256" 333797.791793881 383062.380119152 464
"257" 327832.311349256 377877.178620849 248
"258" 329033.051352439 379007.830616188 691
"259" 333642.337312314 378523.046364388 188
"260" 333668.828061462 387269.519586096 177
"261" 327831.702011047 375634.886532667 207
"262" 333167.969077034 386151.319289546 710
"263" 329672.234526883 379226.324139225 230
"264" 334090.962385234 381187.775713082 55
"265" 334770.833324709 378294.499061996 203
"266" 327898.931422409 378757.809677427 311
"267" 333836.392274651 377552.516858891 280
"268" 329474.88519088 381368.858472501 211
"269" 330694.31789311 378723.919420322 580
"270" 332763.829334726 379763.366551718 576
"271" 329046.8887901 372681.831976683 382
"272" 331048.801997681 383713.8123261 542
"273" 333676.698985993 384374.715772711 627
"274" 329406.375968682 373865.143235436 585
"275" 329835.684816374 382572.399801708 627
"276" 328737.424752749 377064.191493508 622
"277" 334301.964841059 379235.241177828 522
"278" 332087.18230165 380485.185971306 124
"279" 334953.312068052 378119.482723137 691
"280" 334405.792005571 386254.586311149 378
"281" 332811.426703335 384600.99220356 565
"282" 332645.518824533 383279.892515884 318
"283" 334839.302611149 383608.721294903 498
"284" 325859.809464296 378420.029653229 292
"285" 337103.397006218 379045.765977473 8
"286" 326469.771893257 382888.759814402 419
"287" 327639.246284414 370265.415114961 525
"288" 328282.49329116 380269.514758962 102
"289" 331410.535659567 385281.908968736 377
"290" 329295.238853627 379754.174251624 196
"291" 327053.24917278 382486.596676371 469
"292" 331491.872668249 381764.044076762 528
"293" 331487.459093766 379993.254569562 189
"294" 326797.107631246 377951.532991901 131
"295" 331213.170585217 382125.252718694 451
"296" 331943.173555973 383804.176067582 344
"297" 328965.903964759 374287.736025484 54
"298" 330197.802760485 381494.513836847 302
"299" 326109.348825313 382631.714545809 231
"300" 333784.69061779 386495.766807401 699
"301" 336725.656071736 378949.817026968 381
"302" 329271.21501304 369554.826750319 4
"303" 330109.699789118 375567.653533726 339
"304" 328702.56584726 376127.606321361 243
"305" 327612.338555766 373875.791482543 196
"306" 330525.742828564 383678.65577765 14
"307" 329875.993507896 381531.368531317 623
"308" 331995.038185816 386091.733042478 49
"309" 332105.951587866 377599.198672809 346
"310" 330483.452880076 382808.419435505 49
"311" 335508.770265183 377899.448983529 456
"312" 327695.37382696 375666.182470782 505
"313" 329931.490639372 369086.409996697 723
"314" 334341.539168181 379293.133350237 369
"315" 334023.598104839 378617.395998797 178
"316" 328027.647040414 373651.442011732 145
"317" 327885.255631751 370813.397303615 679
"318" 332276.752661245 380774.167445215 687
"319" 334614.767053572 385829.291013869 654
"320" 328212.521269667 374881.740928021 119
"321" 331110.296272395 375367.943528202 210
"322" 334224.011947601 382093.820459283 135
"323" 334163.753478231 379854.903738762 440
"324" 336943.182393737 379449.624660501 501
"325" 331047.091566764 384599.863109456 177
"326" 330097.223686183 380900.36841205 195
"327" 331323.059811523 376456.393466141 688
"328" 330839.039110938 384863.93080404 411
"329" 331502.390742645 385326.062396459 264
"330" 328009.357336892 373912.638807448 124
"331" 332735.377333891 379865.204396283 726
"332" 333439.878586008 377944.171704499 488
"333" 332174.947253848 379325.501678374 275
"334" 330215.946711749 385275.109605018 622
"335" 333709.594559029 384600.880180821 643
"336" 332932.390068503 386648.828964252 336
"337" 332594.340279866 382028.468370659 670
"338" 328625.018111692 380524.122047009 289
"339" 328442.640115531 379571.317036114 184
"340" 334287.34746953 379856.579798434 301
"341" 332321.539084219 379796.547699435 417
"342" 328089.136157411 376931.14402724 665
"343" 335936.628308586 379596.750492615 433
"344" 333165.513044897 383585.613474433 618
"345" 333028.458319684 384903.304329745 576
"346" 328359.449823827 377599.059893502 59
"347" 332665.562243676 377684.313447779 458
"348" 333035.311242772 379850.630271943 480
"349" 327150.342602689 376795.406218659 661
"350" 335831.308663256 380213.180465051 115
"351" 325849.926601693 378706.977252555 238
"352" 332898.318437364 383861.211176212 302
"353" 333738.071988055 379065.965371948 25
"354" 335554.087603227 378261.925556969 269
"355" 331501.177825734 378743.839097602 455
"356" 331222.556290808 374695.297970384 118
