"" "" "ptsT"
"1" 333800.673570577 383483.095408814 392
"2" 328282.849649634 372101.371770029 559
"3" 330359.723921145 374753.357899817 396
"4" 331010.425369314 378954.476754589 647
"5" 327138.230596503 376073.301777043 118
"6" 327792.291768688 377230.509941096 547
"7" 329228.20890686 382155.90641426 628
"8" 329855.751633941 384814.013416258 116
"9" 331895.426936563 378696.882326094 586
"10" 329206.391120826 373621.213471642 41
"11" 329191.493131406 381779.490535835 165
"12" 327273.396505866 380623.52738122 153
"13" 332586.649946834 382594.022938781 637
"14" 336630.857230958 376915.205568195 256
"15" 326222.81095901 374713.507658501 609
"16" 330729.301127801 385709.921758177 487
"17" 328581.311504568 375198.300911091 427
"18" 331775.910149552 381489.519006338 78
"19" 326997.778951872 381324.405006536 580
"20" 326955.222474867 380101.979350078 652
"21" 333916.499526492 384200.997330751 497
"22" 331211.910402265 374551.891109067 18
"23" 333026.773398557 380152.483040545 146
"24" 328026.589976999 380914.541442608 644
"25" 333433.677707844 381991.274332115 175
"26" 330160.986326249 370793.10439299 210
"27" 330293.642188543 377680.701525599 497
"28" 331419.202786704 376761.614554614 491
"29" 326115.022286952 381927.317710023 226
"30" 327033.469259602 375789.920336198 462
"31" 330572.410852705 375684.626197309 260
"32" 331039.05592848 378339.538544623 506
"33" 329915.201504504 371421.337471061 118
"34" 330871.566177495 384829.542795218 402
"35" 332352.288649137 379609.335406669 723
"36" 328573.20513722 379424.406606216 75
"37" 328069.883137167 381490.112137824 120
"38" 335293.466086278 382936.759175899 475
"39" 328863.044883693 370068.691508012 496
"40" 329320.255916854 377568.366780375 485
"41" 332591.362791308 379807.155492147 528
"42" 331400.856902484 375538.910816656 10
"43" 328887.803843467 374577.501752416 109
"44" 332773.656890418 385714.142659311 71
"45" 333495.686880484 384047.6505094 343
"46" 333269.072140716 384845.812741639 385
"47" 328869.819128645 376309.352855506 391
"48" 326381.927137541 382504.877173084 718
"49" 333054.631425536 385881.024943362 43
"50" 331950.784469682 383234.114289193 321
"51" 331583.59122992 382967.133029137 178
"52" 327715.595202644 374033.02580934 681
"53" 329423.683455186 371889.388034657 304
"54" 328650.336699075 373107.279974551 575
"55" 332778.769174074 381282.571445222 186
"56" 330544.589412538 382386.481111024 367
