"" "" "ptsT"
"1" 327619.030576439 379876.900247721 249
"2" 333116.669249516 379920.625284331 48
"3" 327993.6734331 373930.009294822 725
"4" 332725.730770892 384492.036830319 484
"5" 327828.523102926 379864.851148804 408
"6" 327541.006981117 378586.109678209 649
"7" 332143.532435219 385179.150554322 60
"8" 327637.135737726 376478.760299053 368
"9" 330309.52431255 380830.95667229 561
"10" 335187.338508529 383613.611883396 53
"11" 330895.722184158 383702.078455934 644
"12" 327854.703981053 376162.628112704 391
"13" 329750.936751301 374808.907913891 336
"14" 334150.182616687 385857.980445727 82
"15" 326465.191225059 377672.481847092 501
"16" 328432.376737842 375500.076873549 189
"17" 334029.222076873 382799.820222207 457
"18" 333643.780330728 384965.277846356 352
"19" 329292.770561287 372895.570204627 552
"20" 326845.513088671 373198.457295362 499
"21" 330061.736885583 380491.001759647 447
"22" 336164.634608595 376909.582054421 509
"23" 332752.208991241 379250.826514528 82
"24" 332636.872913055 385784.749591328 719
"25" 329978.243913743 383630.886284882 44
"26" 328511.932674942 371840.879239186 168
"27" 327933.225029181 370324.058933758 195
"28" 325568.60386117 382380.085732604 389
"29" 328548.615124131 371947.596995538 456
"30" 327583.060143809 382153.20857278 158
"31" 333387.715260766 380074.840547819 624
"32" 332314.194665029 379619.68196643 153
"33" 330609.588803132 377066.282268813 704
"34" 326512.168192036 374364.366657829 610
"35" 328718.20383479 377502.111435239 249
"36" 328792.642017722 383228.546496296 510
"37" 330507.149237924 376318.494560792 111
"38" 329589.266465809 369599.034401767 507
"39" 330368.739818079 384938.332266116 294
"40" 329145.040704601 377195.799204354 48
"41" 330278.517160971 384753.943459419 294
"42" 327908.080923595 376994.146650532 267
"43" 330227.963271268 376229.50573687 646
"44" 335596.969393805 377821.983878761 532
"45" 330160.011748908 375613.702508105 147
"46" 328279.747971272 372314.060176963 266
"47" 329082.339955873 381916.323249819 586
"48" 332836.736168664 381938.121500071 382
"49" 333949.313626637 387033.129775826 472
"50" 333099.324962003 376662.169619609 708
"51" 333186.787825655 385251.544527447 399
"52" 334493.076984081 386369.203020251 480
"53" 326994.370261843 381117.02898727 670
"54" 329325.694809462 383000.430472063 192
"55" 333907.120630992 385410.896493376 714
"56" 336145.922373462 379875.62684602 567
"57" 331058.445629928 380052.821545824 216
"58" 329735.693789824 381826.581617539 84
"59" 330635.747554415 376895.832476609 703
"60" 328621.314462802 381774.519740205 16
"61" 329578.074233245 381951.104745997 191
"62" 331222.820956155 386415.357349455 257
"63" 333752.455647339 383543.044056101 210
"64" 326377.320962953 373090.541888742 52
"65" 336094.834736535 380160.330862195 331
"66" 334768.776405359 384554.238812359 52
"67" 328075.200767324 375249.018756892 614
"68" 328854.02151708 382173.548695095 624
"69" 328520.128348655 371017.331629143 284
"70" 330432.681101474 382492.217173495 89
"71" 330197.311811773 379294.617224725 249
"72" 333193.717811905 384049.488131907 203
"73" 329839.215578042 383383.424216122 483
"74" 328591.211084702 372463.142295422 282
"75" 332385.044739414 383840.628997902 92
"76" 330757.143953625 385389.823070375 300
"77" 333042.036950104 380728.023381559 556
"78" 330668.296931413 379142.652194426 4
"79" 328213.748082154 381613.961489686 378
"80" 333048.750614829 381726.03952023 693
"81" 330057.868573939 385367.363798369 218
"82" 333163.41176986 377602.715952623 660
"83" 327475.24603336 381892.906332218 703
"84" 328399.077312495 378649.687449284 552
"85" 329131.955763249 382966.272001255 210
"86" 328446.422575155 377586.427977807 347
"87" 326762.209157193 373636.742064039 391
"88" 330155.494829686 384079.727152063 243
"89" 325424.660119049 378424.525368942 666
"90" 329458.922940361 385865.124033789 192
"91" 331271.506939672 373859.179099422 617
"92" 330274.535930341 374415.059431917 429
"93" 333884.432489543 380426.829064971 666
"94" 328548.405575298 382679.430395837 225
"95" 333426.074491612 381902.717639951 66
"96" 334805.193087618 378725.770101572 699
"97" 329570.789044503 374579.337113553 446
"98" 332593.408871632 375937.254737259 287
"99" 326363.462323233 374664.622027582 376
"100" 330307.486014701 379439.767924253 131
"101" 332154.766300114 376828.347205285 438
"102" 328835.65824554 377540.275959133 282
"103" 328905.281123244 368872.701832463 67
"104" 328435.480163777 375711.764968284 285
"105" 330232.004626531 373299.522466372 525
"106" 336136.059097945 379283.515398596 662
"107" 330182.797931181 385363.683203829 461
"108" 334367.059416523 386008.021532638 228
"109" 327487.767301169 373570.347501623 29
"110" 329515.336615509 382103.118614742 697
"111" 333021.820728737 382545.582650314 99
"112" 324015.076938146 382123.829190613 338
"113" 328884.079553509 374511.651398126 574
"114" 334707.042808491 378931.548516411 73
"115" 327574.10436811 379769.209467563 464
"116" 326655.803797108 375311.106955364 701
"117" 330589.457848995 385795.062485276 307
"118" 331021.283727243 374281.966179605 222
"119" 333736.772498335 385402.597202123 103
"120" 326804.362761071 374782.346480565 309
"121" 333072.960554825 378031.951169083 208
"122" 335889.009720919 378921.044076361 614
"123" 327146.378164389 374274.793680864 306
"124" 332374.850010023 385825.533005386 286
"125" 330345.337643903 379326.437885643 239
"126" 332257.108042093 378226.837622781 677
"127" 328410.177287542 382254.192115476 620
"128" 332981.616449536 377994.712694168 670
"129" 329599.814218328 374049.000629072 184
"130" 334568.475899776 378764.625545572 258
"131" 333559.402424507 382442.451293048 418
"132" 330125.267608575 385575.709587928 534
"133" 333518.785650334 385341.264909103 612
"134" 327281.139075659 376427.238495918 178
"135" 335965.544391764 377564.598510813 632
"136" 328775.223981994 380929.973314502 42
"137" 335813.480233722 377837.037967756 168
"138" 327320.58838339 376672.376358761 331
"139" 323229.109119029 383301.337000241 364
"140" 335974.97896477 379858.782524972 337
"141" 332109.041240622 381645.146513401 74
"142" 327468.611791359 376208.900243208 13
"143" 325872.112227816 378748.770851078 666
"144" 328802.804369434 378998.40626197 598
"145" 330755.355738758 378314.069111777 478
"146" 331795.6794583 385606.618608281 248
"147" 330561.539119391 372678.591026478 134
"148" 331778.134210216 375517.330623272 560
"149" 332664.679917053 384059.980398098 219
"150" 336481.536237239 376384.550476315 110
"151" 333551.103514853 386143.791585855 97
"152" 328320.309207337 381289.701692987 257
"153" 330600.524484177 381815.574952193 646
"154" 330131.925694393 375169.065984001 159
"155" 333634.869733503 378735.291761746 385
"156" 333828.652010021 382715.212682408 381
"157" 329423.63157202 371728.243459108 103
