"" "" "ptsT"
"1" 334104.187584532 381567.116593435 496
"2" 328971.962912205 378468.98118566 518
"3" 333837.563433433 379311.430498859 158
"4" 331232.719353108 376827.093548117 347
"5" 332733.332606746 379924.516660027 461
"6" 333736.061280763 386309.329521066 129
"7" 330094.366174898 375756.01319926 589
"8" 332102.915572648 377125.102134835 206
"9" 333485.294182473 386532.871486069 66
"10" 330373.620701453 386081.638884703 100
"11" 330226.262074602 375015.786628351 567
"12" 330043.780063912 377135.973779397 130
"13" 329815.185297959 370719.809380032 667
"14" 325090.937631282 381795.19701673 106
"15" 330817.720379086 372386.13804986 130
"16" 334525.46510847 384621.839614674 502
"17" 328208.20562041 375890.05432769 419
"18" 335521.745078905 377269.583951444 240
"19" 323699.640226964 382311.51443153 172
"20" 328698.694730661 373652.380096028 319
"21" 327149.366998564 380374.439445375 534
"22" 325038.190379021 381791.590242966 319
"23" 334214.419300935 379703.512099885 617
"24" 329144.390519448 372912.806944913 282
"25" 335224.053535994 378930.367915802 687
"26" 325984.934070202 377194.746232619 476
"27" 336127.272520527 379286.63433313 64
"28" 331569.05985321 386231.662635933 493
"29" 328931.053202139 376937.303382965 566
"30" 328079.929244747 373178.64280308 156
"31" 327460.055628239 375761.607462703 618
"32" 332174.436660252 378290.412395083 312
"33" 332496.18681159 382741.606425748 661
"34" 330129.748325179 375842.39620517 472
"35" 330171.96281188 380749.379270257 622
"36" 335420.887848273 379456.508579801 329
"37" 327805.517355581 370858.372967335 425
"38" 335292.834934019 384071.311252763 622
"39" 327930.314400549 381623.301525185 614
"40" 328007.023199597 376627.279313984 646
"41" 328469.030039299 369915.745994961 354
"42" 326319.752265163 375455.540143574 139
"43" 324216.064229294 382366.242249829 285
"44" 330228.566278778 384561.178300586 23
"45" 334669.104922675 378175.349601657 557
"46" 336182.056482861 378586.396367216 531
"47" 329903.970437765 380154.063693633 622
"48" 332230.299965844 381167.54136122 13
"49" 331105.397083715 385785.963652171 692
"50" 326467.229896902 374180.495718318 494
"51" 334544.721630658 382983.498963126 461
"52" 330644.686027792 372307.176181688 382
"53" 332684.093115523 379677.62778158 417
"54" 331002.259873517 375899.188118181 308
"55" 328313.579505069 374495.935701925 499
"56" 334719.90826297 378342.254021215 267
"57" 336016.912092391 377545.12856912 548
"58" 329144.965140815 382677.075621201 470
"59" 328188.273971071 378409.765477061 221
"60" 333554.80798653 377178.890581735 419
"61" 336791.64875637 380070.163180617 670
"62" 329602.265286545 380805.195267948 179
"63" 330247.923316951 376151.074611393 618
"64" 330627.817290638 384761.996721637 629
"65" 329143.753165689 379265.107853992 255
"66" 334420.453198995 384030.114651508 447
"67" 333093.876916742 380380.950837451 222
"68" 331890.796663162 376666.254342459 441
"69" 333249.108987483 381370.949145017 368
"70" 334776.772910272 381598.233333602 349
"71" 329847.898970518 381112.37015794 267
"72" 329662.674883487 384090.641624117 99
"73" 330293.5328293 383897.064123898 398
"74" 333352.071831482 382326.487392752 40
"75" 334810.129189505 380564.996604118 534
"76" 327604.429147254 373695.736037691 219
"77" 335370.524583306 380847.25065806 307
"78" 332341.669953358 379023.502774309 481
"79" 331911.955267787 381533.29249705 352
"80" 329843.979986088 374223.448626604 458
"81" 331877.923688004 382714.333013864 456
"82" 328365.600012207 375751.029697948 24
"83" 325432.062184313 377895.423194847 393
"84" 335909.701496045 377938.436194801 31
"85" 333065.601957862 383195.452085087 386
"86" 332176.526191877 385987.579541406 66
"87" 334363.505103434 382390.536874034 645
"88" 334350.587911987 377996.631699188 395
"89" 327930.647122603 371163.399519872 473
"90" 333828.553336806 379235.173948989 11
"91" 327378.518400174 381380.233642872 452
"92" 333601.522957116 381443.043951376 497
"93" 332831.852646932 378827.465153568 394
"94" 332016.129315125 376788.642303931 657
"95" 334906.372551473 383141.376743601 615
"96" 331429.888726603 376431.121800399 339
"97" 327367.450432213 373876.380529261 637
"98" 333330.347883941 383047.674594007 730
"99" 334910.590588298 380798.066222373 109
"100" 334095.538259509 382220.094889367 548
"101" 328669.83545377 378947.288140233 13
"102" 328915.813929603 372238.275900408 403
"103" 329542.848099656 372470.845550267 47
"104" 329486.957750899 376987.005180828 239
"105" 334825.437378934 380852.762743487 193
"106" 334345.25159573 385387.176632611 396
"107" 329473.504626063 379698.436458909 689
"108" 335199.895173169 383882.820552892 347
"109" 334832.031270384 383542.573516801 74
"110" 335637.935862558 378205.994855073 606
"111" 327839.580306659 376309.535785161 205
"112" 332510.441708143 377570.210391492 261
"113" 328331.480469037 374139.866542222 97
