"" "" "ptsT"
"1" 328239.9464666 369523.835002251 418
"2" 334146.827506396 385827.626864378 322
"3" 332269.221775451 377344.82296963 104
"4" 329277.585303683 369889.481136316 462
"5" 329351.694198505 378192.439482483 683
"6" 334078.93682946 381391.164369083 312
"7" 331665.622568646 379717.975430492 431
"8" 328714.107624808 370880.410529549 249
"9" 329151.335730653 369929.067758175 649
"10" 335251.497986818 377860.794099826 32
"11" 329455.503091711 386288.379213138 479
"12" 330290.077050027 381049.447187615 166
"13" 334355.521637312 381619.592028903 456
"14" 328101.77134719 369966.036383694 320
"15" 331179.822717448 376219.147986454 312
"16" 333488.877799692 383325.425728028 379
"17" 328400.137928854 380739.058595587 70
"18" 335695.654854933 377617.218794641 231
"19" 336118.486079107 377969.298566572 221
"20" 334191.958819829 382714.824361345 4
"21" 328289.148306828 378554.685262088 186
"22" 329138.75557239 374705.743887423 670
"23" 326298.254876382 382805.429501862 728
"24" 331138.987092192 375365.53674652 521
"25" 329243.095479263 370602.661880354 317
"26" 330913.79098303 382500.345539125 65
"27" 333514.969082459 384663.93575861 294
"28" 331018.839788712 380775.093333306 571
"29" 329613.800774193 378655.720445363 637
"30" 333481.484829282 385120.840050768 49
"31" 329054.769152879 381361.963970346 522
"32" 329929.580587462 377684.719685508 457
"33" 329908.536156403 374870.978262733 66
"34" 328193.584226746 378069.715868423 409
"35" 327245.812953077 381650.488517868 436
"36" 328112.722095234 380687.316612756 389
"37" 327978.031950427 372600.866306577 655
"38" 328326.006230597 380066.131242438 690
"39" 330452.581314919 373411.287216698 505
"40" 324770.748826656 382207.872420223 695
"41" 329144.924854863 372148.071612341 206
"42" 333771.218181264 379208.428289965 315
"43" 331527.452314557 380202.394725742 107
"44" 335384.101047961 383274.495116786 290
"45" 329160.014737199 371459.030083638 152
"46" 328932.940617212 373282.857481814 650
"47" 326935.514922727 380432.269693782 159
"48" 335482.100077118 377301.752425401 61
"49" 329058.391672273 374020.482560809 584
"50" 332081.293769666 381255.794882294 439
"51" 328170.831258539 370306.845540108 5
"52" 335372.977035301 382752.341869681 452
"53" 331883.600158595 375597.226888722 564
"54" 328892.161315452 382394.953526703 279
"55" 332777.558280131 378073.161521793 524
"56" 328953.813840623 378642.335359313 681
"57" 333436.392380625 385219.161437836 460
"58" 334296.426183854 382232.204812886 516
"59" 331577.053539568 383198.138910208 307
"60" 327838.096805096 381732.158215983 98
"61" 329666.320774105 376548.83354323 243
"62" 329875.3335955 382186.108269288 288
"63" 329285.23113483 378646.841680227 23
"64" 334866.460786573 382647.528718873 89
"65" 330541.256520891 385681.320171167 510
"66" 335542.720569272 380673.93859684 389
"67" 333992.950953075 385695.534326484 240
"68" 328939.8184483 377558.415433046 537
"69" 329820.360898798 375256.243991145 116
"70" 332675.911095991 377193.105796232 213
"71" 330340.933324072 384869.344770134 713
"72" 329835.49277046 372692.236491877 392
"73" 328731.89816535 381990.4352431 645
"74" 329095.400502617 380009.309319346 141
"75" 334049.718528537 385935.385892331 683
"76" 334242.210087195 384299.043612747 142
"77" 330700.55143115 372395.0439425 725
"78" 334448.117449488 386271.352641739 368
"79" 332864.323559991 385826.123343678 482
"80" 333908.393754135 386293.030663965 454
"81" 328106.387068824 381501.472989163 28
"82" 326018.619742942 378627.939288829 582
"83" 334290.841280592 384214.547720282 675
"84" 326739.543584582 376325.255999634 577
"85" 332940.454092931 385960.786053955 440
"86" 326675.342188366 373197.665292901 469
"87" 330839.391981068 380160.138444617 467
"88" 332093.722728959 384516.216973774 728
"89" 325793.720343612 377970.621396641 60
"90" 333979.54257152 377907.285806696 258
"91" 331136.810321369 381740.467178392 685
"92" 329683.401810648 384068.672220316 265
"93" 332144.242326813 379967.896055585 682
"94" 331622.706312822 380577.587354831 673
"95" 334509.344104302 381856.490996061 522
"96" 327103.864370298 375498.513690216 243
"97" 326509.413022506 378780.860257522 615
"98" 328344.070776137 374791.286838989 716
"99" 329694.287830532 370395.897575138 213
"100" 332675.236230635 380572.499177998 233
"101" 335596.337350761 383795.711794624 54
"102" 331096.152642454 381205.396922057 108
"103" 333861.859405646 382170.731465781 564
"104" 326967.684274231 377299.609781593 483
"105" 328083.376643155 373735.372119203 153
"106" 328950.395062956 376740.08956369 640
"107" 326494.010079999 382965.293735182 429
"108" 333607.562582672 380853.195170208 272
"109" 327365.595282622 374333.755213238 17
"110" 331751.997157384 385376.67607175 688
"111" 331690.528338061 382737.363974561 444
"112" 332944.939005067 378616.910452222 708
"113" 333281.292197165 381071.000360754 176
"114" 333514.168170928 385836.562490014 80
"115" 331559.029024984 379862.634545676 185
"116" 332186.941683122 380788.839389458 278
"117" 328355.375397295 369676.435030669 270
"118" 331631.789919667 382228.214437441 630
"119" 330160.451314246 378596.302013416 517
