"V1" "V2"
"1" 335959.063295892 380631.270620931
"2" 336392.459102648 380411.631108465
"3" 336111.644632851 380598.833567078
"4" 335908.098322355 380417.482923254
"5" 336116.805857275 380338.20884077
"6" 336513.328978384 380445.767036318
"7" 335929.282998616 380189.03474396
"8" 335860.628958294 380544.112076199
"9" 335967.25094581 380123.275790786
"10" 336258.334822898 380436.156376431
"11" 336231.517384581 380399.391397558
"12" 336433.629054897 380613.665143084
"13" 335830.972466793 380251.98986046
"14" 335731.071415492 380414.064700446
"15" 335890.498386492 380545.715100068
"16" 336230.851115059 380654.144853251
"17" 336409.213788603 380372.268209594
"18" 336269.307190871 380324.689265036
"19" 336301.024214029 380490.022097877
"20" 336289.814960402 380314.611017027
"21" 336513.938773919 380428.624355969
"22" 336100.894320748 380404.941399962
"23" 336276.989166888 380582.487136371
"24" 336197.065346023 380656.90448818
"25" 336250.408410723 380385.073451568
"26" 336440.456937898 380691.462346936
"27" 336353.105282341 380534.144743322
"28" 335813.965251719 380619.603624096
"29" 336427.343023527 380395.700667803
"30" 336619.557987773 380338.480033515
"31" 336252.653510178 380195.013472575
"32" 336348.561372351 380267.791440485
"33" 335895.764907762 380289.544034951
"34" 336741.198798088 380243.064500474
"35" 335720.349755125 380413.69079626
"36" 335746.340410215 380237.317367578
"37" 336051.696029663 380100.479635759
"38" 335820.54259772 380481.644701883
"39" 335950.700303455 380430.480143495
"40" 335913.365834041 380116.937839451
"41" 336122.240841051 380416.412898609
"42" 335873.30478114 380647.461275295
"43" 336460.62334861 380630.962183069
"44" 336506.456956275 380497.176058597
"45" 336084.188773386 380471.377367455
"46" 336032.325396151 380205.819346149
"47" 336268.01084278 380441.786158406
"48" 336466.799780261 380641.353553279
"49" 336154.777249476 380019.639806862
"50" 336518.370472539 380557.39265553
"51" 335850.553102845 380231.859476381
"52" 335935.718918738 380215.556757974
"53" 335506.744386893 380476.873055246
"54" 336613.174014301 380189.702539197
"55" 336288.83128005 380350.897006237
"56" 336562.31964412 380408.226346535
"57" 336089.724195135 380137.672987565
"58" 336169.251657368 380661.981441402
"59" 335553.484865323 380467.422931878
"60" 336614.769618082 380532.005088349
"61" 336502.595006036 380243.104877057
"62" 336013.18152419 379985.844279838
"63" 336049.012313967 380183.51770781
"64" 336416.049800362 380535.851225093
"65" 336157.365063564 380357.880966255
"66" 336731.228157891 380225.629148527
"67" 336263.94265687 380376.555853538
"68" 335896.781424041 380138.239175638
"69" 336737.334581601 380259.284384439
"70" 336284.275264806 380200.593086226
"71" 336360.083413688 380281.107867707
"72" 336285.169229212 380085.052710352
"73" 336411.80667216 380280.369160028
"74" 336154.069541509 380202.829805865
"75" 335743.356644819 380248.713372893
"76" 336402.300945003 380409.616615679
"77" 335943.613064533 379973.843609966
"78" 336245.652274839 380297.534814043
"79" 336506.356382204 380457.888980048
"80" 335948.561655094 379969.541300255
"81" 336667.219312432 380383.947293154
"82" 335964.097333714 380586.467482474
"83" 335866.901569876 380145.247239887
"84" 336057.739517339 380582.399332017
"85" 336098.208344931 380594.967468231
"86" 335989.940457246 380325.543351482
"87" 336339.265521311 380672.790577882
"88" 335945.216495529 380261.34612571
"89" 336292.99280397 380636.353412319
"90" 335920.040731588 380287.345979782
"91" 336792.042066008 380290.714549243
"92" 336542.124363336 380503.564176176
"93" 336365.269709389 380381.776872728
"94" 336419.757391596 380446.073338436
"95" 336277.216001004 380258.147763282
"96" 336024.385871213 380467.107015604
"97" 336432.976540247 380288.376225656
"98" 335667.208269436 380346.980275531
"99" 335930.445222037 379991.121265236
"100" 336149.469625811 380264.138353001
"101" 336054.864667948 380589.438218266
"102" 336285.320441205 380553.604262353
"103" 336411.670779514 380415.206480635
"104" 335761.994919313 380679.546496521
"105" 335761.037384182 380585.66291737
"106" 336370.627454966 380650.563859081
"107" 335793.395176974 380282.965194111
"108" 336018.171283258 380481.603547635
"109" 336257.838878352 380642.000924958
"110" 336107.345504424 380313.221507393
"111" 335960.958809406 380389.177292378
"112" 336511.498691019 380602.454680626
"113" 335821.808297442 380245.601553193
"114" 335739.072006576 380241.801271111
"115" 336089.962783619 380030.386755052
"116" 336383.394817851 380691.046423273
"117" 335706.668487302 380394.070086163
"118" 336558.248990717 380351.191591362
"119" 336569.792637361 380264.678497028
"120" 336429.766117145 380543.791239185
"121" 336416.368520889 380295.153830237
"122" 336435.409562205 380373.866861364
"123" 336718.952141909 380252.015262062
"124" 336345.021183546 380186.433159932
"125" 336117.604919519 380245.842475415
"126" 336207.274875602 380239.19202352
"127" 336093.896621686 380448.62562769
"128" 336375.70395293 380673.187687595
"129" 335926.238946248 380531.903486103
"130" 336450.516353293 380498.278050181
"131" 336260.420444859 380598.976514395
"132" 335862.588413092 380327.962657827
"133" 335907.14829548 380239.043661857
"134" 336484.885060228 380168.116028358
"135" 335682.112213743 380493.721209476
"136" 336160.733534169 380084.553485496
"137" 335750.197303563 380516.280350467
"138" 335769.361602073 380563.216110486
"139" 335899.928907237 380287.970997166
"140" 336538.407194003 380214.927157431
"141" 336281.986426795 380162.339819239
"142" 336413.787993818 380394.584489684
"143" 335703.655180699 380431.808669541
"144" 336447.510759738 380647.481708309
"145" 336096.122357894 380426.135591144
"146" 336414.927002305 380315.226093642
"147" 336454.640788081 380592.539581464
"148" 336158.785249681 380156.431337928
"149" 335792.158546311 380191.109298559
"150" 335529.74111056 380492.637518378
"151" 336447.819463557 380611.725918575
"152" 335702.482557435 380516.360658064
"153" 335780.023458904 380632.346433247
"154" 336400.394754614 380161.946228311
"155" 336200.767599464 380100.155798717
"156" 336523.084827476 380346.197507381
"157" 336544.971572691 380571.765940413
"158" 336595.282034622 380555.63512224
"159" 335714.367207174 380308.341691282
"160" 336582.067726138 380261.23826942
"161" 335799.391865837 380189.818322305
"162" 336559.417184365 380351.923347141
"163" 335987.610387194 380069.397063866
"164" 336112.846789904 380273.07076947
"165" 336190.625548414 380060.657667721
"166" 336378.658045859 380646.174288549
"167" 335868.945376705 380489.270380374
"168" 336631.453030261 380298.251510492
"169" 336557.199651736 380489.365699641
"170" 336516.608853104 380608.264687186
"171" 336224.142564033 380378.594359021
"172" 336438.820243333 380387.141431752
"173" 336298.77875369 380317.322352526
"174" 336119.494034839 380388.523149222
"175" 335857.458447218 380627.53848464
"176" 335723.826999188 380589.594278858
"177" 336243.855165902 380397.247562253
"178" 335655.995046086 380515.381234872
"179" 335990.084420277 380293.668963701
"180" 335742.740660398 380392.902007182
"181" 336584.932450137 380345.415717743
"182" 336615.662311815 380302.328360895
"183" 335800.920687701 380627.433337698
"184" 336149.831336358 380317.760689868
"185" 335939.557802719 380081.442823028
"186" 336486.574726689 380385.45050859
"187" 335984.200566834 380330.836292643
"188" 336152.963031606 380309.439251949
"189" 336348.926525324 380328.454978253
"190" 336526.72245721 380237.76803145
"191" 335759.997281121 380484.819548624
"192" 336322.694458213 380633.341773243
"193" 336395.705024283 380303.654872612
"194" 336227.283281703 380293.541643076
"195" 336061.103111656 380487.342988411
"196" 335689.979811184 380337.362658449
"197" 336548.16251096 380265.07871627
"198" 336256.957611644 380274.415634249
"199" 336178.46695485 380223.679925379
"200" 336314.65739108 380510.859661078
"201" 336209.818353531 380251.793117099
"202" 336742.655134199 380314.340135197
"203" 336393.099019256 380372.855933635
"204" 335816.82126903 380552.953539639
"205" 336014.082613715 380497.973344433
"206" 336097.352333973 380259.523787074
"207" 336366.675803615 380113.852386816
"208" 336627.087892318 380490.328133334
"209" 335993.79457382 380368.466704278
"210" 336145.399645801 380395.647302199
"211" 336283.416231324 380467.937326321
"212" 335671.479358889 380535.633881346
"213" 336643.698513008 380434.485777728
"214" 336045.31628392 380397.956917024
"215" 336173.349467369 380329.976911754
"216" 336423.791382219 380383.0838125
"217" 336799.760251038 380295.248250234
"218" 335732.427407479 380414.450169004
"219" 336464.875329917 380241.658991202
"220" 335965.402178864 380615.624792096
"221" 336369.778128585 380666.247310896
"222" 336137.677022446 380062.635195857
"223" 336699.244724966 380323.378196375
"224" 336435.574733539 380436.89016545
"225" 336220.420125923 380126.937603558
"226" 335930.645335259 380232.119778403
"227" 336526.36340153 380594.273126832
"228" 336339.94378063 380652.878537622
"229" 336479.853373796 380663.306593907
"230" 336225.689503305 380178.08811952
