"V1" "V2"
"1" 334429.076492717 383163.510258482
"2" 334844.709827139 383009.749396869
"3" 334639.136466889 383214.57775971
"4" 334648.005096822 383276.702401224
"5" 334351.795787975 383088.45635904
"6" 334329.086830066 383132.939037582
"7" 334398.528398331 383139.464737011
"8" 334545.060889118 383397.765831659
"9" 334708.942834373 383455.767129278
"10" 334717.086191817 383211.038844601
"11" 334745.345400286 382872.859303864
"12" 334643.098477897 383301.851639828
"13" 334312.449826441 383249.673365455
"14" 334473.287175904 383129.082169851
"15" 334653.504862012 383188.353518864
"16" 334357.964780019 383122.208227417
"17" 334747.229722734 383132.157599611
"18" 334836.311204456 382835.374607693
"19" 334606.830049774 383114.424249879
"20" 334367.494537821 383151.991980783
"21" 334875.575651832 382921.147567365
"22" 334801.576263273 382926.579655652
"23" 334529.660449238 382995.856780197
"24" 334472.284697085 383316.156135383
"25" 334734.827998076 383189.581315558
"26" 334610.589726333 383098.222444222
"27" 334852.559118646 382947.490194814
"28" 334494.136835101 383398.033163933
"29" 334261.040601293 383284.321636619
"30" 334451.916085995 383053.511506702
"31" 334280.575513237 383281.397784715
"32" 334633.468968545 383213.448710911
"33" 334849.7578054 382967.781144352
"34" 334715.992160772 382751.094956517
"35" 334653.477754224 383107.117087538
"36" 334344.933224348 383069.377340385
"37" 334557.97738499 383344.479098646
"38" 334457.261427743 383345.93860759
"39" 334804.15323269 383212.464207836
"40" 334836.747952852 382984.396672712
"41" 334464.504128341 383265.667576229
"42" 334774.898118339 382917.350927166
"43" 334595.65824374 383053.254715197
"44" 334558.36755958 383266.013501546
"45" 334378.117789781 383149.4809042
"46" 334748.812593714 383286.242606495
"47" 334640.85872113 382995.494062384
"48" 334477.390761901 383014.999931238
"49" 334501.539071625 383394.623251017
"50" 334802.448061046 382883.888899156
"51" 334754.122578482 383355.602852268
"52" 334517.17888024 382996.096262356
"53" 334272.043820247 383281.52976596
"54" 334684.751740653 383010.523791565
"55" 334865.233882581 382900.628728886
"56" 334540.601135132 383210.118111657
"57" 334803.900603215 383183.710479439
"58" 334454.445139761 383359.533826423
"59" 334784.39575426 382968.99577782
"60" 334429.459598666 383222.727217962
"61" 334665.656639684 382969.857541573
"62" 334579.370398918 382930.562977234
